emerging writing skills,1,SM+,K-3,,,,,,,,,,,,,,,,,,,
choral,1,A,12-Sep,,,,,,,,,,,,,,,,,,,
2,1,SM,noK12,,,,,,,,,,,,,,,,,,,
planets and solar system,1,STEAM,"K-3, 4-6, 7-8, 1-3",,,,,,,,,,,,,,,,,,,
innovative,1,A,K-3,,,,,,,,,,,,,,,,,,,
",elementary education",1,T,noK12,,,,,,,,,,,,,,,,,,,
",technonoly",1,T,noK12,,,,,,,,,,,,,,,,,,,
holistic,1,A,K-3,,,,,,,,,,,,,,,,,,,
5,1,SM,"4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
metalwork,1,TE,12-Sep,,,,,,,,,,,,,,,,,,,
modern physics,1,SE,12-Sep,,,,,,,,,,,,,,,,,,,
photography,1,T,K-3,,,,,,,,,,,,,,,,,,,
world languages,1,+,08-Jul,,,,,,,,,,,,,,,,,,,
html,1,T,noK12,,,,,,,,,,,,,,,,,,,
autocad,1,STEAM,noK12,,,,,,,,,,,,,,,,,,,
art appreciation,1,A,"7-8, 9-12",,,,,,,,,,,,,,,,,,,
secondary,1,A+,"4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
instrumentation in aerospace industry,1,E,12-Sep,,,,,,,,,,,,,,,,,,,
diagrams,1,M,"K-3, 4-6, 7-8, 9-12",,,,,,,,,,,,,,,,,,,
physics education,1,ST,noK12,,,,,,,,,,,,,,,,,,,
discourse,1,T+,noK12,,,,,,,,,,,,,,,,,,,
science projects,1,S,12-Sep,,,,,,,,,,,,,,,,,,,
178,1,S+,noK12,,,,,,,,,,,,,,,,,,,
college teaching,1,+,noK12,,,,,,,,,,,,,,,,,,,
#ecology,1,STEA+,noK12,,,,,,,,,,,,,,,,,,,
instruments,1,A,12-Sep,,,,,,,,,,,,,,,,,,,
tourism english,1,+,noK12,,,,,,,,,,,,,,,,,,,
common core,1,M,12-Sep,,,,,,,,,,,,,,,,,,,
nutritional science,1,S,12-Sep,,,,,,,,,,,,,,,,,,,
anatomy of mammals,1,S,12-Sep,,,,,,,,,,,,,,,,,,,
molecular biology,1,S,12-Sep,,,,,,,,,,,,,,,,,,,
geological processes,1,S,12-Sep,,,,,,,,,,,,,,,,,,,
career preparation,1,A+,12-Sep,,,,,,,,,,,,,,,,,,,
evidence based dentistry,1,+,noK12,,,,,,,,,,,,,,,,,,,
